,,,,,,,,,,
Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
1973,MISSISSIPPI,"OYSTER, EASTERN","611,500",277,"365,102",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1973,VIRGINIA,"OYSTER, EASTERN","4,979,500","2,259","3,178,554",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1972,MARYLAND,"OYSTER, EASTERN","19,052,800","8,642","12,075,629",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1972,MISSISSIPPI,"OYSTER, EASTERN","1,220,400",554,"580,876",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1972,VIRGINIA,"OYSTER, EASTERN","5,014,400","2,275","3,240,723",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1971,MARYLAND,"OYSTER, EASTERN","17,116,900","7,764","10,535,549",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1971,MISSISSIPPI,"OYSTER, EASTERN","1,214,500",551,"472,274",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1971,VIRGINIA,"OYSTER, EASTERN","8,441,500","3,829","5,509,965",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1970,MARYLAND,"OYSTER, EASTERN","16,625,200","7,541","9,653,498",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1970,MISSISSIPPI,"OYSTER, EASTERN","547,500",248,"237,531",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1970,VIRGINIA,"OYSTER, EASTERN","8,043,300","3,648","5,426,940",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1969,MARYLAND,"OYSTER, EASTERN","14,721,200","6,677","9,010,566",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1969,MISSISSIPPI,"OYSTER, EASTERN","1,429,800",649,"551,359",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1969,VIRGINIA,"OYSTER, EASTERN","7,436,600","3,373","4,985,967",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1968,MARYLAND,"OYSTER, EASTERN","14,873,800","6,747","9,990,452",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1968,MISSISSIPPI,"OYSTER, EASTERN","3,786,200","1,717","1,163,028",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1968,VIRGINIA,"OYSTER, EASTERN","7,804,700","3,540","5,268,749",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1967,MARYLAND,"OYSTER, EASTERN","16,729,800","7,589","11,362,836",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1967,MISSISSIPPI,"OYSTER, EASTERN","3,785,900","1,717","1,066,168",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1967,VIRGINIA,"OYSTER, EASTERN","9,068,000","4,113","5,959,026",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1966,MARYLAND,"OYSTER, EASTERN","11,788,700","5,347","8,048,537",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1966,MISSISSIPPI,"OYSTER, EASTERN","2,231,700","1,012","597,020",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1966,VIRGINIA,"OYSTER, EASTERN","9,442,600","4,283","6,493,982",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1965,MARYLAND,"OYSTER, EASTERN","8,620,100","3,910","6,405,280",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1965,MISSISSIPPI,"OYSTER, EASTERN","2,695,400","1,223","626,796",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
1965,VIRGINIA,"OYSTER, EASTERN","12,568,400","5,701","10,291,253",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1964,MARYLAND,"OYSTER, EASTERN","7,947,700","3,605","5,460,637",Public,Commercial,Crassostrea virginica,79872,ACCSPHIST
1964,MISSISSIPPI,"OYSTER, EASTERN","4,828,600","2,190","1,098,736",Public,Commercial,Crassostrea virginica,79872,GULFFINHIST
